time,symbol,config,prob,adx,rsi,vol,outcome_r,mfe_r,mae_r,session,ticket,entry_real,exit_real
2026-03-20T06:59:36.992084,XAGUSD,ALFA_S15R15_N,0.976,70.58973332721135,41.95217557135788,14.658770913053639,-0.0500,0.0000,0.0000,LONDON,62978862,0.00000,0.00000
2026-03-20T06:59:36.995161,XAGUSD,ALFA_S20R15_N,0.976,70.58973332721135,41.95217557135788,14.658770913053639,-0.0500,0.0000,0.0000,LONDON,62978872,0.00000,0.00000
2026-03-20T06:59:36.997991,XAGUSD,ALFA_S15R18_N,0.976,70.58973332721135,41.95217557135788,14.658770913053639,-0.0500,0.0000,0.0000,LONDON,62978881,0.00000,0.00000
2026-03-20T06:59:37.000924,XAGUSD,ALFA_S20R18_N,0.976,70.58973332721135,41.95217557135788,14.658770913053639,-0.0500,0.0000,0.0000,LONDON,62978897,0.00000,0.00000
