time,pnl_r,type,symbol,dollar_pnl,balance,drawdown
2025-11-13 02:30:00,-1.0,CHAMPION,GBPCAD,-121.25,9578.75,0.0
2025-11-13 02:30:00,-1.0,CHAMPION,NZDUSD,-121.25,9457.5,-1.2658227848101267
2025-11-13 02:35:00,-1.0,CHAMPION,NZDUSD,-121.25,9336.25,-2.5316455696202533
2025-11-13 02:40:00,-1.0,CHAMPION,AUDNZD,-121.25,9215.0,-3.79746835443038
2025-11-13 02:40:00,-1.0,CHAMPION,NZDUSD,-121.25,9093.75,-5.063291139240507
2025-11-13 06:05:00,2.5,CHAMPION,AUDJPY,303.125,9396.875,-1.89873417721519
2025-11-13 06:35:00,2.0,SNIPER,AUDNZD,97.0,9493.875,-0.8860759493670887
2025-11-13 07:55:00,-1.0,CHAMPION,AUDNZD,-121.25,9372.625,-2.151898734177215
2025-11-13 08:25:00,-1.0,SNIPER,EURUSD,-48.5,9324.125,-2.6582278481012658
2025-11-13 08:30:00,2.5,CHAMPION,AUDNZD,303.125,9627.25,0.0
2025-11-13 08:50:00,2.0,SNIPER,NZDUSD,97.0,9724.25,0.0
2025-11-13 09:00:00,-1.0,SNIPER,GBPUSD,-48.5,9675.75,-0.4987531172069825
2025-11-13 09:00:00,2.5,CHAMPION,GBPJPY,303.125,9978.875,0.0
2025-11-13 09:00:00,-1.0,SNIPER,GBPCAD,-48.5,9930.375,-0.48602673147023084
2025-11-13 09:00:00,-1.0,CHAMPION,CADCHF,-121.25,9809.125,-1.701093560145808
2025-11-13 09:00:00,2.5,CHAMPION,EURGBP,303.125,10112.25,0.0
2025-11-13 09:00:00,-1.0,SNIPER,EURGBP,-48.5,10063.75,-0.4796163069544364
2025-11-13 09:20:00,2.5,CHAMPION,AUDJPY,303.125,10366.875,0.0
2025-11-13 09:20:00,-1.0,CHAMPION,AUDUSD,-121.25,10245.625,-1.1695906432748537
2025-11-13 09:25:00,-1.0,CHAMPION,AUDUSD,-121.25,10124.375,-2.3391812865497075
2025-11-13 09:30:00,-1.0,CHAMPION,EURUSD,-121.25,10003.125,-3.508771929824561
2025-11-13 09:35:00,-1.0,CHAMPION,EURUSD,-121.25,9881.875,-4.678362573099415
2025-11-13 09:35:00,-1.0,CHAMPION,USDJPY,-121.25,9760.625,-5.847953216374268
2025-11-13 09:40:00,-1.0,CHAMPION,CADCHF,-121.25,9639.375,-7.017543859649122
2025-11-13 11:45:00,2.0,SNIPER,GBPCAD,97.0,9736.375,-6.081871345029239
2025-11-13 11:50:00,2.0,SNIPER,GBPUSD,97.0,9833.375,-5.146198830409357
2025-11-13 12:20:00,-1.0,SNIPER,NZDUSD,-48.5,9784.875,-5.614035087719298
2025-11-13 14:35:00,2.5,CHAMPION,EURGBP,303.125,10088.0,-2.690058479532164
2025-11-13 14:40:00,-1.0,CHAMPION,GBPCAD,-121.25,9966.75,-3.8596491228070176
2025-11-13 15:05:00,-1.0,CHAMPION,AUDJPY,-121.25,9845.5,-5.029239766081871
2025-11-13 16:10:00,-1.0,SNIPER,NZDUSD,-48.5,9797.0,-5.497076023391813
2025-11-13 16:35:00,2.5,CHAMPION,GBPJPY,303.125,10100.125,-2.5730994152046787
2025-11-13 16:35:00,-1.0,CHAMPION,AUDNZD,-121.25,9978.875,-3.7426900584795324
2025-11-13 16:35:00,-1.0,CHAMPION,AUDJPY,-121.25,9857.625,-4.912280701754386
2025-11-13 16:40:00,-1.0,CHAMPION,AUDNZD,-121.25,9736.375,-6.081871345029239
2025-11-13 16:40:00,-1.0,CHAMPION,AUDJPY,-121.25,9615.125,-7.251461988304094
2025-11-13 17:20:00,2.0,SNIPER,USDJPY,97.0,9712.125,-6.315789473684211
2025-11-13 18:55:00,2.5,CHAMPION,GBPJPY,303.125,10015.25,-3.3918128654970756
2025-11-13 18:55:00,2.5,CHAMPION,GBPUSD,303.125,10318.375,-0.46783625730994155
2025-11-13 20:25:00,-1.0,CHAMPION,AUDUSD,-121.25,10197.125,-1.6374269005847955
2025-11-13 21:25:00,-1.0,SNIPER,AUDUSD,-48.5,10148.625,-2.1052631578947367
2025-11-13 21:30:00,-1.0,SNIPER,NZDUSD,-48.5,10100.125,-2.5730994152046787
2025-11-13 21:30:00,-1.0,SNIPER,USDCAD,-48.5,10051.625,-3.0409356725146197
