dt,port_cum
2026-03-16 06:00:34,-1.3000000000000014
2026-03-16 06:00:34,-1.2300000000000013
2026-03-16 06:00:34,-1.1500000000000012
2026-03-16 06:00:34,-1.0700000000000012
2026-03-16 06:00:34,-1.0200000000000011
2026-03-16 06:00:34,-0.9600000000000011
2026-03-16 06:00:34,-0.900000000000001
2026-03-16 06:00:35,-0.860000000000001
2026-03-16 06:00:35,-0.840000000000001
2026-03-16 06:00:35,-0.8100000000000009
2026-03-16 06:00:35,-0.7600000000000009
2026-03-16 06:26:22,-0.8000000000000009
2026-03-16 06:26:23,-0.840000000000001
2026-03-16 06:26:24,-0.990000000000001
2026-03-16 06:26:24,-1.050000000000001
2026-03-16 06:26:24,-1.110000000000001
2026-03-16 06:26:24,-1.190000000000001
2026-03-16 07:00:38,-1.340000000000001
2026-03-16 07:00:38,-1.5000000000000009
2026-03-16 07:00:38,-1.640000000000001
2026-03-16 07:00:38,-1.800000000000001
2026-03-16 07:00:38,-1.9400000000000008
2026-03-16 07:00:39,-2.100000000000001
2026-03-16 08:00:42,-2.300000000000001
2026-03-16 08:00:42,-2.5000000000000013
2026-03-16 08:00:42,-2.6900000000000013
2026-03-16 08:00:42,-2.8800000000000012
2026-03-16 08:00:42,-3.0800000000000014
2026-03-16 08:26:30,-3.090000000000001
2026-03-16 09:26:33,-3.570000000000001
2026-03-16 09:26:33,-4.070000000000001
2026-03-16 09:26:33,-4.570000000000001
2026-03-16 09:26:33,-5.060000000000001
2026-03-16 09:26:33,-5.550000000000002
2026-03-16 09:26:33,-6.060000000000001
2026-03-16 09:26:34,-6.560000000000001
2026-03-16 09:26:34,-7.060000000000001
2026-03-16 09:26:34,-7.550000000000002
2026-03-16 11:26:40,-7.460000000000002
2026-03-16 11:26:41,-7.410000000000002
2026-03-16 15:05:01,-7.250000000000002
2026-03-16 15:05:02,-7.100000000000001
2026-03-16 15:05:02,-6.950000000000001
2026-03-16 15:05:02,-6.880000000000001
2026-03-16 15:05:03,-7.050000000000001
2026-03-16 15:05:03,-7.0200000000000005
2026-03-16 15:05:03,-7.16
2026-03-16 15:05:03,-7.3
2026-03-16 15:05:03,-7.43
2026-03-16 15:05:03,-7.56
2026-03-16 15:23:31,-7.93
2026-03-16 15:23:31,-8.18
2026-03-16 15:23:32,-8.379999999999999
2026-03-16 15:23:32,-8.35
2026-03-16 15:23:32,-8.49
2026-03-16 15:23:32,-8.65
2026-03-16 15:23:32,-8.92
2026-03-16 15:23:32,-9.19
2026-03-16 15:23:32,-9.479999999999999
2026-03-16 15:23:32,-9.649999999999999
2026-03-16 15:23:33,-9.979999999999999
2026-03-16 15:23:33,-10.159999999999998
2026-03-16 15:23:33,-10.559999999999999
2026-03-16 15:23:33,-10.899999999999999
2026-03-16 15:23:33,-11.099999999999998
2026-03-16 15:23:33,-11.319999999999999
2026-03-16 15:23:33,-11.659999999999998
2026-03-16 15:23:33,-11.569999999999999
2026-03-16 15:23:34,-11.809999999999999
2026-03-16 15:23:34,-11.679999999999998
2026-03-16 15:23:34,-11.899999999999999
2026-03-16 15:23:34,-12.04
2026-03-16 15:23:34,-12.049999999999999
2026-03-16 15:23:34,-12.45
2026-03-16 15:23:34,-12.809999999999999
2026-03-16 15:23:34,-12.999999999999998
2026-03-16 15:23:34,-13.029999999999998
2026-03-16 15:23:35,-12.999999999999998
2026-03-16 15:23:35,-13.009999999999998
2026-03-16 15:23:35,-13.239999999999998
2026-03-16 15:23:35,-13.579999999999998
2026-03-16 15:23:35,-13.799999999999999
2026-03-16 15:23:35,-13.709999999999999
2026-03-16 15:23:35,-13.68
2026-03-16 15:23:35,-13.76
2026-03-16 15:23:35,-14.02
2026-03-16 15:23:36,-13.99
2026-03-16 15:33:56,-14.99
2026-03-16 15:34:32,-15.99
2026-03-16 15:51:32,-15.64
2026-03-16 15:51:33,-15.530000000000001
2026-03-16 15:51:33,-14.870000000000001
2026-03-16 15:51:33,-14.9
2026-03-16 16:46:05,-17.29
2026-03-16 20:26:14,-14.549999999999999
2026-03-16 20:26:16,-13.579999999999998
2026-03-17 04:17:34,-14.209999999999999
2026-03-17 04:17:34,-14.61
2026-03-17 04:17:34,-14.92
2026-03-17 04:17:34,-15.29
2026-03-17 04:17:34,-16.189999999999998
2026-03-17 04:17:34,-16.519999999999996
2026-03-17 04:17:34,-17.419999999999995
2026-03-17 04:17:35,-18.049999999999994
2026-03-17 08:51:09,-17.159999999999993
2026-03-17 09:46:48,-17.14999999999999
2026-03-17 11:48:34,-14.339999999999991
2026-03-17 11:48:34,-11.52999999999999
2026-03-17 12:25:59,-7.82999999999999
2026-03-17 12:26:01,-4.0299999999999905
2026-03-17 15:04:37,-2.2699999999999907
2026-03-17 15:04:39,-0.5499999999999907
2026-03-17 15:04:40,-1.1299999999999906
2026-03-17 15:04:40,-1.7299999999999907
2026-03-17 16:20:34,-2.659999999999991
2026-03-17 16:20:34,-3.589999999999991
2026-03-17 17:06:17,-2.179999999999991
2026-03-17 17:06:17,-0.7699999999999909
2026-03-17 17:06:17,0.640000000000009
2026-03-17 17:06:17,2.0500000000000087
2026-03-17 17:52:19,0.8600000000000088
2026-03-17 17:54:49,-0.3399999999999912
2026-03-17 18:10:24,1.4500000000000088
2026-03-17 18:10:24,3.240000000000009
2026-03-17 18:10:25,5.030000000000009
2026-03-17 18:10:25,6.820000000000009
2026-03-17 20:05:07,5.480000000000009
2026-03-17 20:05:07,4.1400000000000095
2026-03-18 02:29:20,5.240000000000009
2026-03-18 02:29:21,6.350000000000009
2026-03-18 04:01:31,4.670000000000009
2026-03-18 04:01:32,2.9900000000000087
2026-03-18 04:05:21,4.670000000000009
2026-03-18 04:05:21,6.3500000000000085
2026-03-18 04:05:21,8.030000000000008
2026-03-18 04:05:21,9.710000000000008
2026-03-18 13:10:36,10.260000000000009
2026-03-18 13:10:36,10.790000000000008
2026-03-18 13:10:46,11.060000000000008
2026-03-18 13:10:46,11.310000000000008
2026-03-18 13:10:47,11.890000000000008
2026-03-18 13:10:48,12.460000000000008
2026-03-18 13:10:48,13.030000000000008
2026-03-18 13:10:50,13.610000000000008
2026-03-18 13:10:50,13.840000000000009
2026-03-18 13:10:52,14.06000000000001
2026-03-18 14:19:54,12.64000000000001
2026-03-18 14:19:54,11.22000000000001
2026-03-18 14:19:54,9.80000000000001
2026-03-18 14:19:54,8.38000000000001
2026-03-18 17:05:11,6.62000000000001
2026-03-18 17:05:11,4.86000000000001
2026-03-18 17:05:12,3.1000000000000103
2026-03-18 17:05:12,1.3400000000000103
