position_id,profit,comment_exit,symbol,comment_entry,strategy
106119012,23.06,[tp 1.63784],EURAUD,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106124059,-8.58,[sl 111.956],AUDJPY,LHN_NEME_A20R15_,LHN_NEME_A20R15_
106124058,-8.51,[sl 111.958],AUDJPY,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106124072,-8.55,[sl 111.968],AUDJPY,LHN_NEME_A25R25_,LHN_NEME_A25R25_
106124073,-8.55,[sl 111.968],AUDJPY,LHN_NEME_A28R25_,LHN_NEME_A28R25_
106124069,-8.55,[sl 111.968],AUDJPY,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106124063,-8.55,[sl 111.968],AUDJPY,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106112400,-22.35,[sl 1.34812],GBPUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106112416,-22.35,[sl 1.34812],GBPUSD,LHN_EXPL_A20R30_,LHN_EXPL_A20R30_
106112412,-22.35,[sl 1.34812],GBPUSD,LHN_EXPL_A25R20_,LHN_EXPL_A25R20_
106112403,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106112401,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106112397,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106112406,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106112411,-22.5,[sl 1.34813],GBPUSD,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
106112408,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106112404,-22.2,[sl 1.34814],GBPUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106112417,-22.5,[sl 1.34813],GBPUSD,LHN_EXPL_A25R30_,LHN_EXPL_A25R30_
106112415,-22.5,[sl 1.34813],GBPUSD,LHN_EXPL_A15R30_,LHN_EXPL_A15R30_
106112409,-22.5,[sl 1.34813],GBPUSD,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106112398,-22.25,[sl 1.34816],GBPUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106112396,-22.15,[sl 1.34817],GBPUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106112395,-22.45,[sl 1.34819],GBPUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106112393,-22.45,[sl 1.34821],GBPUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106112392,-22.45,[sl 1.34821],GBPUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106122333,115.07,[tp 70860.45],BTCUSD,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106122335,115.07,[tp 70859.90],BTCUSD,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106122340,114.86,[tp 70861.76],BTCUSD,LHN_NEME_A28R25_,LHN_NEME_A28R25_
