trade_id,symbol,hour_of_trade,current_r,max_r,min_r,volatility,direction,is_terminal
0,EURUSD,0,3.1182609574070255,3.1826878366924345,-0.2963636447124791,2.277558457333862,0,1
1,EURUSD,0,7.769071665558851,8.030363313503427,0.0,2.2108212103822904,0,1
2,EURUSD,0,8.262431288849124,8.52781987414384,0.0,2.2112130444688822,0,1
3,EURUSD,0,7.774476846625904,11.246412019584772,0.0,2.272112980606866,0,1
4,EURUSD,0,6.7578862572545395,10.211182657660643,0.0,2.270981249630718,0,1
5,EURUSD,0,1.3068856267831628,3.1717673638779447,0.0,1.4069200245999025,0,1
6,EURUSD,0,0.7743312433172845,2.309408971297376,0.0,1.0275155180109985,0,0
6,EURUSD,1,0.7879160019720637,2.309408971297376,-0.36678848367662437,0.9180261595344473,0,0
6,EURUSD,2,1.249797796231539,2.309408971297376,-0.36678848367662437,0.5390245340385351,0,0
6,EURUSD,3,0.6113141394611411,2.309408971297376,-0.36678848367662437,1.0527822930440343,0,0
6,EURUSD,4,0.4211275182954394,2.309408971297376,-0.36678848367662437,0.4716464672838351,0,0
6,EURUSD,5,0.06792379327359419,2.309408971297376,-0.36678848367662437,0.8253813177465243,0,0
6,EURUSD,6,0.5298055875330694,2.309408971297376,-0.36678848367662437,0.8759148678125961,0,0
6,EURUSD,7,0.7335769673532487,2.309408971297376,-0.36678848367662437,0.6822029258925297,0,0
6,EURUSD,8,2.716951730938036,3.5456220088741364,-0.36678848367662437,1.962386194234074,0,1
7,EURUSD,0,5.3944036381751275,7.176902231659066,0.0,2.062741003923284,0,1
8,EURUSD,0,8.150951636900379,9.712381739575175,0.0,3.0957147904503133,0,1
