symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_pips,tp_pips,pnl_pips,result,rsi_h1,rsi_m15,rsi_m5,adx_h1,ema_confirm
EURUSD,SELL,2025-11-19 22:45:00,1.15263,2025-11-20 01:15:00,1.15413,15,30,-15.000000000000568,LOSS,21.29277566539926,34.3669250646023,28.20512820512991,27.883780263193398,True
EURUSD,SELL,2025-11-20 07:05:00,1.15154,2025-11-20 15:30:00,1.15304,15,30,-15.000000000000568,LOSS,30.07614213197992,36.543909348443655,55.86206896551577,54.460707668650365,True
EURUSD,SELL,2025-11-20 10:05:00,1.15148,2025-11-20 15:30:00,1.1529800000000001,15,30,-15.000000000000568,LOSS,43.38781575037073,37.919463087248246,44.615384615388294,54.2376427864675,True
EURUSD,BUY,2025-11-20 11:00:00,1.15194,2025-11-20 15:30:00,1.15044,15,30,-15.000000000000568,LOSS,55.076923076924096,53.405994550406774,49.62686567163938,51.057629760463556,True
EURUSD,BUY,2025-11-20 18:10:00,1.15371,2025-11-21 12:00:00,1.15221,15,30,-15.000000000000568,LOSS,58.26193390452829,69.42675159235579,41.481481481481296,35.39762658364147,True
EURUSD,BUY,2025-11-20 19:00:00,1.15343,2025-11-21 12:05:00,1.15193,15,30,-15.000000000000568,LOSS,59.05707196029604,57.760314341845195,67.96116504854257,31.41930241635472,True
EURUSD,BUY,2025-11-20 20:30:00,1.15341,2025-11-21 12:05:00,1.15191,15,30,-15.000000000000568,LOSS,60.240963855420034,35.45647558386379,41.59663865545784,27.845988568544477,True
EURUSD,BUY,2025-11-20 21:00:00,1.15365,2025-11-21 12:00:00,1.15215,15,30,-15.000000000000568,LOSS,64.00996264009802,62.52927400468468,76.10062893083227,25.08342012653347,True
EURUSD,BUY,2025-11-24 06:00:00,1.15166,2025-11-24 13:55:00,1.1546599999999998,15,30,29.999999999998916,WIN,56.093189964158164,76.13168724280143,50.38759689921879,34.16185552221912,True
EURUSD,BUY,2025-11-24 07:00:00,1.15254,2025-11-24 10:00:00,1.1510399999999998,15,30,-15.000000000000568,LOSS,70.90517241379239,77.08333333333796,73.04964539005863,33.32655745808298,True
EURUSD,BUY,2025-11-24 08:00:00,1.15264,2025-11-24 09:55:00,1.15114,15,30,-15.000000000000568,LOSS,66.88311688311832,63.01369863013393,65.70048309178827,33.41382803799238,True
EURUSD,BUY,2025-11-24 10:15:00,1.15294,2025-11-24 19:05:00,1.15144,15,30,-15.000000000000568,LOSS,68.03652968036526,59.49074074074053,45.18828451882833,31.09302915985926,True
EURUSD,BUY,2025-11-24 11:00:00,1.15323,2025-11-24 17:10:00,1.15173,15,30,-15.000000000000568,LOSS,64.2248722316856,52.092050209204686,75.68306010928491,30.40664756844425,True
EURUSD,BUY,2025-11-24 12:00:00,1.1533,2025-11-24 17:10:00,1.1518,15,30,-15.000000000000568,LOSS,67.88990825688083,60.10016694490808,55.25525525525625,29.84392402001514,True
EURUSD,BUY,2025-11-24 13:00:00,1.15405,2025-11-24 17:00:00,1.15255,15,30,-15.000000000000568,LOSS,72.23042836041273,64.95999999999744,69.39501779359354,29.607736197620444,True
EURUSD,BUY,2025-11-24 14:00:00,1.15449,2025-11-24 16:20:00,1.15299,15,30,-15.000000000000568,LOSS,75.81602373887199,57.64462809917149,64.10256410256615,29.716442325414683,True
EURUSD,BUY,2025-11-24 15:00:00,1.15487,2025-11-24 16:15:00,1.15337,15,30,-15.000000000000568,LOSS,72.07334273624934,63.48547717841976,54.79452054794614,30.629333921536134,True
EURUSD,BUY,2025-11-25 14:40:00,1.15448,2025-11-25 14:05:00,1.15298,15,30,-15.000000000000568,LOSS,63.48600508905933,51.21359223300954,25.257731958761767,23.54272428435717,True
EURUSD,BUY,2025-11-25 15:00:00,1.15433,2025-11-25 17:00:00,1.15733,15,30,29.999999999998916,WIN,71.33258678611324,63.05609284332734,69.50672645740131,26.74227476101481,True
EURUSD,BUY,2025-11-25 16:00:00,1.15647,2025-11-26 08:20:00,1.15947,15,30,29.999999999998916,WIN,72.93868921775844,69.23076923076923,71.63375224416595,29.271336013401122,True
EURUSD,BUY,2025-11-25 17:00:00,1.15732,2025-11-25 18:35:00,1.1558199999999998,15,30,-15.000000000000568,LOSS,68.98340248962548,84.9918433931484,62.81407035175808,32.215831993610934,True
EURUSD,BUY,2025-11-25 18:00:00,1.15615,2025-11-26 05:40:00,1.15915,15,30,29.999999999998916,WIN,61.91860465116196,66.2068965517242,41.28686327077646,33.20224114328506,True
EURUSD,BUY,2025-11-25 19:20:00,1.15767,2025-11-25 19:05:00,1.15617,15,30,-15.000000000000568,LOSS,76.287816843826,60.38159371492755,47.07207207207304,34.90042632570935,True
EURUSD,BUY,2025-11-25 20:00:00,1.15826,2025-11-25 22:25:00,1.15676,15,30,-15.000000000000568,LOSS,76.47540983606615,59.102244389027625,77.96257796257763,37.8437934004599,True
EURUSD,BUY,2025-11-25 21:00:00,1.158,2025-11-25 22:30:00,1.1564999999999999,15,30,-15.000000000000568,LOSS,77.00320512820579,54.50516986706059,52.26130653266147,41.799585178945115,True
EURUSD,BUY,2025-11-25 22:00:00,1.15803,2025-11-25 22:30:00,1.1565299999999998,15,30,-15.000000000000568,LOSS,66.43209007741083,66.6104553119714,49.62406015037343,43.988719085152745,True
EURUSD,BUY,2025-11-26 02:30:00,1.15703,2025-11-26 15:45:00,1.15553,15,30,-15.000000000000568,LOSS,60.735294117647314,56.29921259842333,48.04469273742997,42.04172220053589,True
EURUSD,BUY,2025-11-26 03:05:00,1.1569,2025-11-26 15:45:00,1.1554,15,30,-15.000000000000568,LOSS,68.99924755455257,42.57812499999814,58.0357142857173,42.846418609466284,True
EURUSD,BUY,2025-11-26 04:00:00,1.15752,2025-11-26 15:35:00,1.15602,15,30,-15.000000000000568,LOSS,65.55183946488305,70.15306122448965,67.72151898733915,41.61233876340502,True
EURUSD,BUY,2025-11-26 05:00:00,1.15816,2025-11-26 10:50:00,1.15666,15,30,-15.000000000000568,LOSS,64.11149825784037,71.32867132867068,54.615384615385864,40.06412939232009,True
EURUSD,BUY,2025-11-26 06:00:00,1.15909,2025-11-26 09:50:00,1.15759,15,30,-15.000000000000568,LOSS,57.381370826010155,72.85382830626344,72.89156626506258,37.467282619513135,True
EURUSD,BUY,2025-11-26 07:30:00,1.15877,2025-11-26 10:30:00,1.15727,15,30,-15.000000000000568,LOSS,62.12510711225427,56.33802816901426,24.06015037593356,33.694353571160725,True
EURUSD,BUY,2025-11-26 08:00:00,1.15881,2025-11-26 10:30:00,1.1573099999999998,15,30,-15.000000000000568,LOSS,64.73214285714337,65.34954407294447,60.09615384614805,33.20132858834013,True
