symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_pips,tp_pips,pnl_pips,result,rsi_h1,rsi_m15,rsi_m5,adx_h1,bb_h1
EURUSD,SELL,2025-11-19 21:00:00,1.1525,2025-11-20 01:10:00,1.1540000000000001,15,30,-15.000000000000568,LOSS,16.748285994122497,30.29045643153532,41.250000000004285,25.13809609278423,-2.1591219086856954
EURUSD,SELL,2025-11-19 22:00:00,1.15231,2025-11-19 23:45:00,1.15381,15,30,-15.000000000000568,LOSS,21.29277566539926,34.3669250646023,28.20512820512991,27.883780263193398,-1.661450331424683
EURUSD,SELL,2025-11-19 23:20:00,1.15253,2025-11-20 01:15:00,1.1540300000000001,15,30,-15.000000000000568,LOSS,29.827742520398786,39.3548387096776,66.88311688312317,30.808608006532744,-1.0869588910847015
EURUSD,SELL,2025-11-20 03:00:00,1.15325,2025-11-20 15:30:00,1.1502500000000002,15,30,29.999999999998916,WIN,18.26347305389234,41.311475409837385,32.275132275133146,40.16651259804887,-1.2799710406914249
EURUSD,SELL,2025-11-20 04:00:00,1.15202,2025-11-20 15:35:00,1.15352,15,30,-15.000000000000568,LOSS,19.34460887949254,25.260416666665492,27.074235807861612,44.65504365570077,-1.273203398069689
EURUSD,SELL,2025-11-20 05:00:00,1.1521,2025-11-20 15:35:00,1.1536,15,30,-15.000000000000568,LOSS,19.202518363064357,24.671916010500937,40.86538461538385,49.78039597731455,-1.3959535615493572
EURUSD,SELL,2025-11-20 06:00:00,1.15135,2025-11-20 12:00:00,1.1528500000000002,15,30,-15.000000000000568,LOSS,28.51985559566829,32.418952618457226,36.764705882350704,52.800057707343306,-1.0493318982364417
EURUSD,SELL,2025-11-20 07:15:00,1.15148,2025-11-20 15:30:00,1.1529800000000001,15,30,-15.000000000000568,LOSS,30.07614213197992,36.543909348443655,55.86206896551577,54.460707668650365,-1.125438544450399
EURUSD,SELL,2025-11-20 10:00:00,1.15203,2025-11-20 15:35:00,1.1535300000000002,15,30,-15.000000000000568,LOSS,43.38781575037073,37.919463087248246,44.615384615388294,54.2376427864675,-0.6963853038480163
EURUSD,BUY,2025-11-20 11:15:00,1.15191,2025-11-20 15:30:00,1.15041,15,30,-15.000000000000568,LOSS,55.076923076924096,53.405994550406774,49.62686567163938,51.057629760463556,-0.12774862961047356
EURUSD,SELL,2025-11-20 14:00:00,1.15161,2025-11-20 15:30:00,1.15311,15,30,-15.000000000000568,LOSS,29.923664122135207,37.30886850153034,17.67955801104634,47.6100325354664,-1.6264019287204585
EURUSD,SELL,2025-11-20 15:10:00,1.15125,2025-11-20 15:30:00,1.1527500000000002,15,30,-15.000000000000568,LOSS,42.76807980049975,29.893238434167742,50.43859649123098,46.62474080785408,0.4184866475206536
EURUSD,BUY,2025-11-20 18:20:00,1.15399,2025-11-20 23:00:00,1.15249,15,30,-15.000000000000568,LOSS,58.26193390452829,69.42675159235579,41.481481481481296,35.39762658364147,0.9819968021150665
EURUSD,BUY,2025-11-20 19:00:00,1.15343,2025-11-21 12:05:00,1.15193,15,30,-15.000000000000568,LOSS,59.05707196029604,57.760314341845195,67.96116504854257,31.41930241635472,0.4828850696103335
EURUSD,BUY,2025-11-20 20:45:00,1.15346,2025-11-21 12:05:00,1.1519599999999999,15,30,-15.000000000000568,LOSS,60.240963855420034,35.45647558386379,41.59663865545784,27.845988568544477,1.439791584700069
EURUSD,BUY,2025-11-20 21:00:00,1.15365,2025-11-21 12:00:00,1.15215,15,30,-15.000000000000568,LOSS,64.00996264009802,62.52927400468468,76.10062893083227,25.08342012653347,1.6416660343976293
EURUSD,SELL,2025-11-21 18:00:00,1.14969,2025-11-21 19:00:00,1.1511900000000002,15,30,-15.000000000000568,LOSS,33.002207505518214,33.96524486571941,24.932975871319186,25.302522478700514,-1.8004496294472554
EURUSD,SELL,2025-11-21 20:10:00,1.15041,2025-11-21 23:15:00,1.15191,15,30,-15.000000000000568,LOSS,31.35775862068857,44.780635400907286,57.18849840255722,29.53375468524078,-1.4882558684867162
EURUSD,SELL,2025-11-24 01:00:00,1.15108,2025-11-24 07:05:00,1.1525800000000002,15,30,-15.000000000000568,LOSS,39.933628318583146,41.346153846151175,40.939597315431044,37.58673231992916,-0.932100808240299
EURUSD,SELL,2025-11-24 02:00:00,1.15068,2025-11-24 06:55:00,1.15218,15,30,-15.000000000000568,LOSS,42.420681551116076,43.14381270902985,29.104477611934357,39.28267823037817,-0.861008927611986
EURUSD,BUY,2025-11-24 06:05:00,1.15175,2025-11-24 14:30:00,1.15475,15,30,29.999999999998916,WIN,56.093189964158164,76.13168724280143,50.38759689921879,34.16185552221912,1.0992012811067309
EURUSD,BUY,2025-11-24 07:00:00,1.15254,2025-11-24 10:00:00,1.1510399999999998,15,30,-15.000000000000568,LOSS,70.90517241379239,77.08333333333796,73.04964539005863,33.32655745808298,1.4023297218387498
EURUSD,BUY,2025-11-24 08:00:00,1.15264,2025-11-24 09:55:00,1.15114,15,30,-15.000000000000568,LOSS,66.88311688311832,63.01369863013393,65.70048309178827,33.41382803799238,1.1173317166559886
EURUSD,BUY,2025-11-24 10:10:00,1.15266,2025-11-24 19:05:00,1.15116,15,30,-15.000000000000568,LOSS,68.03652968036526,59.49074074074053,45.18828451882833,31.09302915985926,2.104815361758047
EURUSD,BUY,2025-11-24 11:00:00,1.15323,2025-11-24 17:10:00,1.15173,15,30,-15.000000000000568,LOSS,64.2248722316856,52.092050209204686,75.68306010928491,30.40664756844425,2.0798191436720908
EURUSD,BUY,2025-11-24 12:00:00,1.1533,2025-11-24 17:10:00,1.1518,15,30,-15.000000000000568,LOSS,67.88990825688083,60.10016694490808,55.25525525525625,29.84392402001514,2.6336188439982733
EURUSD,BUY,2025-11-24 13:00:00,1.15405,2025-11-24 17:00:00,1.15255,15,30,-15.000000000000568,LOSS,72.23042836041273,64.95999999999744,69.39501779359354,29.607736197620444,2.46291588141438
EURUSD,BUY,2025-11-24 14:00:00,1.15449,2025-11-24 16:20:00,1.15299,15,30,-15.000000000000568,LOSS,75.81602373887199,57.64462809917149,64.10256410256615,29.716442325414683,2.191642781900733
EURUSD,BUY,2025-11-24 15:15:00,1.15431,2025-11-24 16:40:00,1.15281,15,30,-15.000000000000568,LOSS,72.07334273624934,63.48547717841976,54.79452054794614,30.629333921536134,1.3214769743385515
EURUSD,BUY,2025-11-25 14:40:00,1.15448,2025-11-25 14:05:00,1.15298,15,30,-15.000000000000568,LOSS,63.48600508905933,51.21359223300954,25.257731958761767,23.54272428435717,2.5998924954482936
EURUSD,BUY,2025-11-25 15:00:00,1.15433,2025-11-25 17:00:00,1.15733,15,30,29.999999999998916,WIN,71.33258678611324,63.05609284332734,69.50672645740131,26.74227476101481,3.013665578311029
EURUSD,BUY,2025-11-25 16:00:00,1.15647,2025-11-26 08:20:00,1.15947,15,30,29.999999999998916,WIN,72.93868921775844,69.23076923076923,71.63375224416595,29.271336013401122,2.757796784353203
EURUSD,BUY,2025-11-25 17:00:00,1.15732,2025-11-25 18:35:00,1.1558199999999998,15,30,-15.000000000000568,LOSS,68.98340248962548,84.9918433931484,62.81407035175808,32.215831993610934,2.033374100440099
EURUSD,BUY,2025-11-25 19:15:00,1.15703,2025-11-26 15:45:00,1.15553,15,30,-15.000000000000568,LOSS,76.287816843826,60.38159371492755,47.07207207207304,34.90042632570935,2.421716714391877
EURUSD,BUY,2025-11-25 20:00:00,1.15826,2025-11-25 22:25:00,1.15676,15,30,-15.000000000000568,LOSS,76.47540983606615,59.102244389027625,77.96257796257763,37.8437934004599,1.9223371009525148
EURUSD,BUY,2025-11-26 02:55:00,1.15682,2025-11-26 15:50:00,1.15532,15,30,-15.000000000000568,LOSS,60.735294117647314,56.29921259842333,48.04469273742997,42.04172220053589,0.7034553564319223
EURUSD,BUY,2025-11-26 03:00:00,1.15694,2025-11-26 15:45:00,1.15544,15,30,-15.000000000000568,LOSS,68.99924755455257,42.57812499999814,58.0357142857173,42.846418609466284,1.0286672779135166
EURUSD,BUY,2025-11-26 04:00:00,1.15752,2025-11-26 15:35:00,1.15602,15,30,-15.000000000000568,LOSS,65.55183946488305,70.15306122448965,67.72151898733915,41.61233876340502,1.157481159389351
EURUSD,BUY,2025-11-26 05:05:00,1.15843,2025-11-26 10:50:00,1.15693,15,30,-15.000000000000568,LOSS,64.11149825784037,71.32867132867068,54.615384615385864,40.06412939232009,1.494379241070425
EURUSD,BUY,2025-11-26 06:00:00,1.15909,2025-11-26 09:50:00,1.15759,15,30,-15.000000000000568,LOSS,57.381370826010155,72.85382830626344,72.89156626506258,37.467282619513135,1.0318313852055268
EURUSD,BUY,2025-11-26 07:30:00,1.15877,2025-11-26 10:30:00,1.15727,15,30,-15.000000000000568,LOSS,62.12510711225427,56.33802816901426,24.06015037593356,33.694353571160725,1.327839327435792
EURUSD,BUY,2025-11-26 08:00:00,1.15881,2025-11-26 10:30:00,1.1573099999999998,15,30,-15.000000000000568,LOSS,64.73214285714337,65.34954407294447,60.09615384614805,33.20132858834013,0.972563699849819
EURUSD,SELL,2025-11-26 11:25:00,1.15758,2025-11-26 17:05:00,1.15908,15,30,-15.000000000000568,LOSS,43.24022346368646,42.66666666666824,49.250000000000554,23.28761426658354,-0.29449657589038014
EURUSD,SELL,2025-11-28 09:00:00,1.15822,2025-11-28 17:50:00,1.15972,15,30,-15.000000000000568,LOSS,33.68200836820307,47.41035856573779,39.34426229507944,22.37253490613978,-1.9695783001769949
