wick_ratio,volatility_surge,successive_move,rsi,adx,label,pair
0.8102108768035502,1.0339909674352097,0.6,57.84313725490105,30.721829465272698,0,AUDUSD
0.9208819714655562,1.0011806375442638,0.8,62.626262626262736,28.031418857367182,0,AUDUSD
0.8147174770040458,1.006333567909923,0.8,61.224489795917215,25.173559295631218,1,AUDUSD
3.1832797427680766,1.012900143334918,0.4,66.2500000000019,22.320119097613304,1,AUDUSD
2.524461839531839,1.0358835477318789,0.4,69.4915254237286,18.82620163384679,0,AUDUSD
1.0662824207494046,1.0296010296010147,0.4,50.45454545454339,16.665679360421304,0,AUDUSD
1.5653964984550086,1.0251132153149292,0.2,53.365384615382695,13.79065796323288,0,AUDUSD
1.439764936336493,1.0408765276021983,0.2,49.765258215960905,11.332999642172746,0,AUDUSD
1.2916246215938674,1.022798577703418,0.2,52.47524752475231,9.742445387684308,0,AUDUSD
0.7976490344245813,1.0259004451639144,0.2,61.475409836066206,11.677874299857503,0,AUDUSD
1.5868673050614575,1.0482897384305907,0.4,61.78861788617809,13.239636238093235,0,AUDUSD
1.1300919842312631,1.0383980181668078,0.4,53.66972477064103,14.859669513250724,0,AUDUSD
1.0512483574247944,1.0186153524367332,0.4,45.771144278606556,14.613979530718376,0,AUDUSD
0.5294619982921618,1.0597106174852078,0.6,54.958677685949,14.848537533515954,0,AUDUSD
1.116333725029638,1.083267561168112,0.6,57.3705179282871,16.66884724735918,1,AUDUSD
0.9421112372305517,1.120879120879109,0.4,53.35968379446658,16.966466294977675,1,AUDUSD
1.0204081632655664,1.116315378610459,0.6,56.106870229007484,17.218973736187987,1,AUDUSD
0.660896931550101,1.1009885636751224,0.6,50.34246575342501,19.461924335319758,1,AUDUSD
1.4387633769321686,1.0478754085752613,0.6,46.69117647058894,20.722227034351324,1,AUDUSD
1.289506953223542,0.9718814870730372,0.6,60.000000000001975,21.57482613850911,1,AUDUSD
1.422708618330941,0.9264873057976656,0.8,62.38938053097456,23.723804385047675,1,AUDUSD
1.1890606420928158,0.9226569608735445,0.8,68.3544303797486,26.7496445242899,1,AUDUSD
1.8166939443534293,0.9276672694394357,0.8,65.0602409638567,30.010705691221215,1,AUDUSD
1.6152450090748933,0.8963955463295165,0.6,57.560975609757314,30.32960248070655,1,AUDUSD
1.3976705490853016,0.9312462849217613,0.4,52.631578947369825,29.039849606853373,1,AUDUSD
0.9986859395533653,0.9902832334091668,0.2,49.32735426009025,27.84009638172025,1,AUDUSD
0.5294705294705595,1.0024701523260697,0.2,38.88888888888915,27.970903413113138,0,AUDUSD
0.44504995458663393,0.9413228281152728,0.4,38.626609442058616,28.250069853367705,0,AUDUSD
0.39960039960035526,0.9693088982115168,0.4,39.99999999999999,28.544287540442728,1,AUDUSD
0.3879728419010335,0.9612403100774901,0.6,42.3076923076934,27.626412670739693,1,AUDUSD
0.6064209274673479,0.9205384281371758,0.6,46.698113207546335,25.327377247100067,1,AUDUSD
0.606262491672218,1.065759637188186,0.8,59.60912052117294,22.67652195563903,0,AUDUSD
