time,open,high,low,close,tick_volume,spread,real_volume
2025-11-13 01:40:00,179.357,179.358,179.336,179.355,113,16,0
2025-11-13 01:45:00,179.361,179.377,179.351,179.361,169,17,0
2025-11-13 01:50:00,179.362,179.365,179.309,179.326,186,18,0
2025-11-13 01:55:00,179.325,179.352,179.324,179.326,101,16,0
2025-11-13 02:00:00,179.329,179.44,179.316,179.435,491,14,0
2025-11-13 02:05:00,179.434,179.459,179.416,179.428,381,18,0
2025-11-13 02:10:00,179.43,179.436,179.398,179.427,370,17,0
2025-11-13 02:15:00,179.428,179.457,179.38,179.38,331,14,0
2025-11-13 02:20:00,179.381,179.405,179.342,179.343,348,13,0
2025-11-13 02:25:00,179.339,179.373,179.324,179.362,246,16,0
2025-11-13 02:30:00,179.365,179.403,179.288,179.304,596,16,0
2025-11-13 02:35:00,179.3,179.319,179.238,179.288,423,17,0
2025-11-13 02:40:00,179.286,179.341,179.28,179.335,323,15,0
2025-11-13 02:45:00,179.321,179.367,179.301,179.342,386,14,0
2025-11-13 02:50:00,179.34,179.464,179.327,179.451,502,13,0
2025-11-13 02:55:00,179.445,179.466,179.394,179.422,512,16,0
2025-11-13 03:00:00,179.423,179.469,179.4,179.465,433,13,0
2025-11-13 03:05:00,179.465,179.49,179.451,179.463,414,12,0
2025-11-13 03:10:00,179.46,179.495,179.445,179.477,362,12,0
2025-11-13 03:15:00,179.466,179.494,179.401,179.45,438,12,0
2025-11-13 03:20:00,179.449,179.47,179.393,179.418,295,17,0
2025-11-13 03:25:00,179.419,179.441,179.405,179.408,402,12,0
2025-11-13 03:30:00,179.412,179.47,179.408,179.447,325,12,0
2025-11-13 03:35:00,179.448,179.488,179.44,179.479,260,12,0
2025-11-13 03:40:00,179.478,179.484,179.44,179.447,251,12,0
2025-11-13 03:45:00,179.446,179.453,179.418,179.428,310,12,0
2025-11-13 03:50:00,179.427,179.427,179.367,179.396,346,12,0
2025-11-13 03:55:00,179.39,179.396,179.289,179.32,315,12,0
2025-11-13 04:00:00,179.321,179.328,179.245,179.264,350,17,0
2025-11-13 04:05:00,179.265,179.287,179.244,179.257,341,17,0
2025-11-13 04:10:00,179.256,179.3,179.254,179.287,401,12,0
2025-11-13 04:15:00,179.288,179.329,179.286,179.315,306,12,0
2025-11-13 04:20:00,179.318,179.344,179.306,179.319,179,12,0
2025-11-13 04:25:00,179.318,179.325,179.288,179.312,178,12,0
2025-11-13 04:30:00,179.311,179.321,179.273,179.275,158,12,0
2025-11-13 04:35:00,179.274,179.324,179.269,179.324,156,12,0
2025-11-13 04:40:00,179.316,179.32,179.287,179.29,151,12,0
2025-11-13 04:45:00,179.294,179.294,179.272,179.285,277,12,0
2025-11-13 04:50:00,179.286,179.291,179.262,179.274,198,12,0
