time,open,high,low,close,tick_volume,spread,real_volume
2025-11-13 01:40:00,1.15914,1.15915,1.15903,1.15914,36,1,0
2025-11-13 01:45:00,1.15915,1.15919,1.15913,1.15914,35,1,0
2025-11-13 01:50:00,1.15913,1.15919,1.15913,1.15914,24,1,0
2025-11-13 01:55:00,1.15913,1.15919,1.15912,1.15915,19,1,0
2025-11-13 02:00:00,1.15918,1.1592,1.15887,1.15887,92,0,0
2025-11-13 02:05:00,1.15889,1.15901,1.15885,1.15887,104,1,0
2025-11-13 02:10:00,1.15888,1.15891,1.15876,1.15883,71,0,0
2025-11-13 02:15:00,1.1588,1.1588,1.15872,1.1587399999999999,58,0,0
2025-11-13 02:20:00,1.15875,1.15888,1.15873,1.15887,79,0,0
2025-11-13 02:25:00,1.15891,1.15892,1.15878,1.15878,46,0,0
2025-11-13 02:30:00,1.1589,1.15896,1.1580300000000001,1.15821,350,0,0
2025-11-13 02:35:00,1.15817,1.15845,1.15815,1.1584,213,1,0
2025-11-13 02:40:00,1.15841,1.15841,1.1582,1.15826,93,0,0
2025-11-13 02:45:00,1.15827,1.1583,1.15809,1.15826,116,0,0
2025-11-13 02:50:00,1.15825,1.15842,1.15822,1.1583,180,0,0
2025-11-13 02:55:00,1.15824,1.15825,1.1580300000000001,1.1580300000000001,250,0,0
2025-11-13 03:00:00,1.15804,1.15821,1.15796,1.1582,232,0,0
2025-11-13 03:05:00,1.15821,1.15824,1.15804,1.15821,143,0,0
2025-11-13 03:10:00,1.15818,1.15826,1.158,1.15811,128,0,0
2025-11-13 03:15:00,1.1581,1.15821,1.15789,1.1582,178,0,0
2025-11-13 03:20:00,1.15819,1.15831,1.15814,1.15825,88,0,0
2025-11-13 03:25:00,1.15826,1.15826,1.15794,1.15819,114,0,0
2025-11-13 03:30:00,1.1582,1.1584699999999999,1.15814,1.15846,143,0,0
2025-11-13 03:35:00,1.15845,1.15857,1.1583700000000001,1.15855,96,0,0
2025-11-13 03:40:00,1.15854,1.1586400000000001,1.15846,1.15853,118,0,0
2025-11-13 03:45:00,1.15852,1.15867,1.15846,1.15865,93,0,0
2025-11-13 03:50:00,1.15866,1.15889,1.1586400000000001,1.15884,113,0,0
2025-11-13 03:55:00,1.15881,1.15896,1.15878,1.15895,151,0,0
2025-11-13 04:00:00,1.15897,1.15929,1.15893,1.1590799999999999,133,0,0
2025-11-13 04:05:00,1.15909,1.15916,1.15899,1.15909,148,0,0
2025-11-13 04:10:00,1.1591,1.15913,1.15895,1.15899,131,0,0
2025-11-13 04:15:00,1.1589800000000001,1.159,1.15883,1.15889,114,0,0
2025-11-13 04:20:00,1.15888,1.1589,1.15872,1.15873,82,0,0
2025-11-13 04:25:00,1.15872,1.15875,1.15853,1.15862,70,0,0
2025-11-13 04:30:00,1.15861,1.15872,1.15859,1.15872,60,0,0
